"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","avg_swing_speed","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Cabrera, Miguel",408234,2021,38,472,526,121,90,16,0,15,118,40,22.4,7.6,".256",".386",".316","0.702",".305",".315",,"91.4",32.8,8.3,49,"101.953387486","95.613068408",25.8,49.4
"Peralta, David",444482,2021,33,487,538,126,80,30,8,8,92,46,17.1,8.6,".259",".402",".325","0.727",".314",".293",,"89.3",27.2,5,41.8,"101.204662576","94.748489747",21.3,46.5
"Merrifield, Whit",593160,2021,32,664,720,184,129,42,3,10,103,40,14.3,5.6,".277",".395",".317","0.712",".306",".301",,"86.9",40,3.5,28.8,"96.198273099","92.10313669",18.3,50
"Cruz Jr., Nelson",443558,2021,40,513,584,136,82,21,1,32,126,51,21.6,8.7,".265",".497",".334","0.831",".346",".363",,"92.9",31.8,13.6,52.5,"105.497885455","97.364589369",30.7,51
"Alonso, Pete",624413,2021,26,561,637,147,80,27,3,37,127,60,19.9,9.4,".262",".519",".344","0.863",".363",".377",,"91",34.5,14.8,47.3,"103.709055662","96.163804165",24.9,49.3
"Aguilar, Jesús",542583,2021,31,449,510,117,72,23,0,22,93,46,18.2,9,".261",".459",".329","0.788",".334",".334",,"89.6",34.7,8.5,41,"100.000025495","94.305900248",25.9,44.8
"Schoop, Jonathan",570731,2021,29,623,674,173,120,30,1,22,133,37,19.7,5.5,".278",".435",".320","0.755",".324",".311",,"88.1",30.1,6.8,40.2,"101.189261968","94.661372435",24.7,52.5
"Happ, Ian",664023,2021,26,465,535,105,59,20,1,25,156,62,29.2,11.6,".226",".434",".323","0.757",".328",".317",,"89.5",30.8,10.9,41.3,"100.682785163","94.566082557",32.3,43.9
"Martinez, J.D.",502110,2021,33,570,634,163,90,42,3,28,150,55,23.7,8.7,".286",".518",".349","0.867",".364",".374",,"92.1",41.2,12.5,49.4,"102.421753991","95.887919576",29.2,54.2
"Santana, Carlos",467793,2021,35,565,659,121,87,15,0,19,102,86,15.5,13.1,".214",".342",".319","0.661",".294",".335",,"89.9",28,6.8,41.9,"100.529242479","94.571698094",22.3,43.4
"García, Adolis",666969,2021,28,581,622,141,82,26,2,31,194,32,31.2,5.1,".243",".454",".286","0.740",".314",".299",,"91",29.4,11.5,45.5,"101.116772974","95.023074923",34.2,54.1
"Torres, Gleyber",650402,2021,24,459,516,119,88,22,0,9,104,50,20.2,9.7,".259",".366",".331","0.697",".307",".331",,"87.1",37.1,7.8,35.7,"98.748265196","93.463817961",26.3,46.7
"Anderson, Tim",641313,2021,28,527,551,163,115,29,2,17,119,22,21.6,4,".309",".469",".338","0.807",".345",".324",,"89.6",32.5,7.8,42.3,"100.468994726","94.526930721",25.9,57.8
"Grossman, Robbie",543257,2021,31,557,671,133,84,23,3,23,155,98,23.1,14.6,".239",".415",".357","0.772",".337",".334",,"87.8",39.5,7.6,34.1,"97.650887745","92.935303661",21.6,38.4
"Renfroe, Hunter",592669,2021,29,521,572,135,71,33,0,31,130,44,22.7,7.7,".259",".501",".315","0.816",".344",".354",,"90.1",32.7,14.4,44.3,"102.674148889","95.514085899",25.9,48.2
"Stanton, Giancarlo",519317,2021,31,510,579,139,85,19,0,35,157,63,27.1,10.9,".273",".516",".354","0.870",".370",".363",,"95.1",32.6,15.7,56.3,"108.657830625","99.263673807",32.6,44.2
"Marte, Starling",516782,2021,32,467,526,145,103,27,3,12,99,43,18.8,8.2,".310",".458",".383","0.841",".364",".347",,"87.6",32.6,8.4,39.6,"100.239516776","94.207705479",24.6,49.5
"Gurriel Jr., Lourdes",666971,2021,27,500,541,138,87,28,2,21,102,32,18.9,5.9,".276",".466",".319","0.785",".333",".339",,"89.7",35.8,9.6,43,"100.4470094","94.556565915",24.2,50.9
"Donaldson, Josh",518626,2021,35,457,543,113,61,26,0,26,114,74,21,13.6,".247",".475",".352","0.827",".353",".388",,"94.1",30.2,17.4,52.7,"104.204804343","97.023133829",27.6,45.2
"Chisholm Jr., Jazz",665862,2021,23,464,507,115,73,20,4,18,145,34,28.6,6.7,".248",".425",".303","0.728",".312",".307",,"90.2",29,9,42,"100.832046938","94.723985799",29.9,47.2
"Turner, Justin",457759,2021,36,533,612,148,99,22,0,27,98,61,16,10,".278",".471",".361","0.832",".358",".359",,"90.9",36.5,7.9,42.4,"99.559758318","94.25153575",17.7,44.5
"Iglesias, Jose",578428,2021,31,483,511,131,93,27,2,9,75,21,14.7,4.1,".271",".391",".309","0.700",".304",".297",,"85.4",35.5,3.4,28.6,"96.57281701","92.297143784",18.9,55
"Sanó, Miguel",593934,2021,28,470,532,105,51,24,0,30,183,59,34.4,11.1,".223",".466",".312","0.778",".332",".322",,"93.4",32.3,17.7,55.9,"105.463960417","97.768462404",38.2,44.6
"Blackmon, Charlie",453568,2021,34,514,582,139,97,25,4,13,91,54,15.6,9.3,".270",".411",".351","0.762",".333",".359",,"87.6",32.6,7,38.5,"99.359821596","93.750499272",20.2,47.3
"Newman, Kevin",621028,2021,27,517,554,117,87,22,3,5,41,27,7.4,4.9,".226",".309",".265","0.574",".249",".275",,"85.3",32,1.6,26,"95.837500212","91.93298839",12.1,44.9
"Farmer, Kyle",571657,2021,30,483,529,127,87,22,2,16,97,22,18.3,4.2,".263",".416",".316","0.732",".316",".302",,"87.2",36,4.3,31.9,"97.545416308","92.888295077",20,49.9
"Arozarena, Randy",668227,2021,26,529,604,145,90,32,3,20,170,56,28.1,9.3,".274",".459",".356","0.815",".350",".304",,"89.9",29.7,8.2,42.3,"101.268214833","94.942033565",32.6,44.2
"Betts, Mookie",605141,2021,28,466,550,123,68,29,3,23,86,68,15.6,12.4,".264",".487",".367","0.854",".365",".357",,"90.3",34,7.8,41,"99.139157135","94.102277154",16.8,40.4
"Mancini III, Trey",641820,2021,29,556,616,142,87,33,1,21,143,51,23.2,8.3,".255",".432",".326","0.758",".326",".341",,"88.9",36,10.4,42,"101.505868937","94.869304891",29.6,47
"Bell, Josh",605137,2021,28,498,568,130,78,24,1,27,101,65,17.8,11.4,".261",".476",".347","0.823",".352",".367",,"92.5",28.5,8.8,52,"103.31235455","96.348443033",24.1,46.7
"Alvarez, Yordan",670541,2021,24,537,598,149,80,35,1,33,145,50,24.2,8.4,".277",".531",".346","0.877",".369",".386",,"93.2",37.2,15.9,54.2,"104.437748426","97.123948655",22.7,43.1
"Díaz, Yandy",650490,2021,29,465,541,119,85,20,1,13,85,69,15.7,12.8,".256",".387",".353","0.740",".325",".332",,"89.9",28.9,7,40.6,"101.639064531","95.019968229",19.3,42.6
"Hosmer, Eric",543333,2021,31,509,565,137,97,28,0,12,99,48,17.5,8.5,".269",".395",".337","0.732",".319",".326",,"90.5",26.6,5.8,47,"102.446751471","95.653349314",22.9,48.3
"Rosario, Amed",642708,2021,25,550,588,155,113,25,6,11,120,31,20.4,5.3,".282",".409",".321","0.730",".315",".300",,"88.8",32,2.8,43.5,"100.03613414","94.229745093",24.8,48.9
"Soto, Juan",665742,2021,22,502,654,157,106,20,2,29,93,145,14.2,22.2,".313",".534",".465","0.999",".420",".429",,"93",29.7,13.3,52.7,"104.58028599","97.062348402",20,35
"Frazier, Adam",624428,2021,29,577,639,176,130,36,5,5,69,48,10.8,7.5,".305",".411",".368","0.779",".341",".324",,"85.4",38.9,1,25.2,"94.770636087","91.395336317",12.4,47.6
"Crawford, Brandon",543063,2021,34,483,549,144,87,30,3,24,105,56,19.1,10.2,".298",".522",".373","0.895",".377",".356",,"88.8",35.8,11.5,43.3,"99.818696492","94.078049948",29.3,51.7
"Moncada, Yoán",660162,2021,26,520,616,137,89,33,1,14,157,84,25.5,13.6,".263",".412",".375","0.787",".347",".353",,"90.1",40,8.2,41.2,"100.949227444","94.870101083",28.1,42.6
"Arenado, Nolan",571448,2021,30,593,653,151,80,34,3,34,96,50,14.7,7.7,".255",".494",".312","0.806",".336",".311",,"89",34.1,6.7,37.5,"98.719642976","93.570965437",18.5,46.8
"Cron, C.J.",543068,2021,31,470,547,132,72,31,1,28,117,60,21.4,11,".281",".530",".375","0.905",".383",".364",,"88.8",31.9,11.5,42,"101.733108492","94.934202465",27.4,47.1
"Escobar, Eduardo",500871,2021,32,549,599,139,80,26,5,28,124,48,20.7,8,".253",".472",".314","0.786",".334",".328",,"87",38,8.9,34.5,"98.233403679","93.168115165",23.9,49.5
"Story, Trevor",596115,2021,28,526,595,132,69,34,5,24,139,53,23.4,8.9,".251",".471",".329","0.800",".341",".335",,"90.6",34.2,9.9,42.6,"100.826442959","94.729589592",27.4,50.8
"Abreu, José",547989,2021,34,566,659,148,86,30,2,30,143,61,21.7,9.3,".261",".481",".351","0.832",".354",".349",,"92",31.2,10.2,49.3,"102.892077685","95.964420464",27.7,48.4
"Walsh, Jared",665120,2021,27,530,585,147,83,34,1,29,152,48,26,8.2,".277",".509",".340","0.849",".357",".326",,"89.6",33.6,11.3,41.3,"101.660333632","94.949250264",26.1,49.3
"Judge, Aaron",592450,2021,29,550,633,158,95,24,0,39,158,75,25,11.8,".287",".544",".373","0.917",".387",".418",,"95.8",38.5,17.6,58.4,"107.090197563","98.864780584",29.1,42.5
"Rizzo, Anthony",519203,2021,31,496,576,123,75,23,3,22,87,52,15.1,9,".248",".440",".344","0.784",".339",".347",,"90.1",31.4,7.7,41.1,"100.696655631","94.60294966",20.8,46.5
"Perez, Salvador",521692,2021,31,620,665,169,97,24,0,48,170,28,25.6,4.2,".273",".544",".316","0.860",".359",".371",,"93",34.1,16.3,56.2,"104.087645903","97.05981185",33.7,58.9
"McMahon, Ryan",641857,2021,26,528,596,134,78,32,1,23,147,59,24.7,9.9,".254",".449",".331","0.780",".334",".325",,"90.5",40.2,7.3,43.5,"100.810510524","94.736908351",29.2,48.8
"Lowe, Nathaniel",663993,2021,25,557,642,147,102,24,3,18,162,80,25.2,12.5,".264",".415",".357","0.772",".337",".323",,"90.8",31.4,9.5,45.5,"101.920030352","95.281020854",23.5,44.7
"Seager, Kyle",572122,2021,33,603,670,128,63,29,1,35,161,59,24,8.8,".212",".438",".285","0.723",".308",".319",,"89",35.7,12.3,40.1,"99.68216","94.062280564",29.7,49.6
"Taylor, Michael A.",572191,2021,30,483,528,118,89,16,1,12,144,33,27.3,6.3,".244",".356",".297","0.653",".286",".300",,"89.4",30.6,6.6,40.2,"100.404271228","94.393365396",31.2,51.9
"Bichette, Bo",666182,2021,23,640,690,191,131,30,1,29,137,40,19.9,5.8,".298",".484",".343","0.827",".354",".355",,"91.4",33.5,9.9,47.5,"102.637648103","95.817675415",22.3,57.8
"Tapia, Raimel",606132,2021,27,487,533,133,99,26,2,6,70,40,13.1,7.5,".273",".372",".327","0.699",".305",".273",,"85.7",19.9,2.1,31.5,"96.953380048","92.476739258",14.7,51.2
"Brantley Jr., Michael",488726,2021,34,469,508,146,106,29,3,8,53,33,10.4,6.5,".311",".437",".362","0.799",".347",".361",,"89.5",38.8,5.8,42.9,"99.686219375","94.187918365",10.9,45.6
"Lowe, Brandon",664040,2021,26,535,615,132,62,31,0,39,167,68,27.2,11.1,".247",".523",".340","0.863",".363",".357",,"89.3",37.2,14,43.1,"100.943196413","94.724953913",32.8,52.5
