"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","avg_swing_speed","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Peña, Jeremy",665161,2024,26,602,650,160,115,28,2,15,111,25,17.1,3.8,".266",".394",".308","0.702",".305",".310","72.6","88.2",29.2,5.4,38.8,"99.323506707","93.74168435",24.9,54.2
"Semien, Marcus",543760,2024,33,650,718,154,102,27,2,23,105,64,14.6,8.9,".237",".391",".308","0.699",".306",".313","68.3","87.4",33,6.6,35.2,"97.806210919","93.005121934",20.2,50
"Nimmo, Brandon",607043,2024,31,571,663,128,77,25,3,23,158,77,23.8,11.6,".224",".399",".327","0.726",".321",".335","73.3","91.9",33.7,9.1,47.4,"101.264982933","95.221659687",23.4,44.8
"Rodgers, Brendan",663898,2024,27,501,539,134,91,29,1,13,132,31,24.5,5.8,".267",".407",".314","0.721",".314",".295","71.7","89.3",33.1,5.6,44.1,"101.153269243","94.773964417",25.9,49.3
"Chourio, Jackson",694192,2024,20,528,573,145,91,29,4,21,121,39,21.1,6.8,".275",".464",".327","0.791",".339",".328","73.2","89.7",33.2,7.8,44.9,"100.832969557","94.831073407",27.1,48.8
"Profar, Jurickson",595777,2024,31,564,668,158,105,29,0,24,101,76,15.1,11.4,".280",".459",".380","0.839",".365",".364","71.7","91.1",31.3,7.2,44.4,"100.952441293","94.862553707",17,45.6
"Frelick, Sal",686217,2024,24,475,524,123,95,22,4,2,78,39,14.9,7.4,".259",".335",".320","0.655",".292",".278","66.3","83.4",30,0.8,19.5,"94.439757846","91.272403907",12.9,41.5
"Doyle, Brenton",686668,2024,26,542,603,141,90,24,4,23,153,46,25.4,7.6,".260",".446",".317","0.763",".328",".329","70.9","89.2",37.4,10.5,41.4,"100.983223096","94.67619269",29.8,51.4
"Neto, Zach",687263,2024,23,542,602,135,77,34,1,23,140,39,23.3,6.5,".249",".443",".318","0.761",".330",".317","71","88.5",29,8.4,38.8,"100.130832864","94.28058907",27.1,48.9
"Cruz, Oneil",665833,2024,25,541,599,140,82,34,3,21,181,51,30.2,8.5,".259",".449",".324","0.773",".331",".340","78.6","95.5",32.1,15.7,54.9,"107.199352928","98.547881492",34.1,46.3
"Langeliers, Shea",669127,2024,26,482,534,108,59,18,2,29,145,41,27.2,7.7,".224",".450",".288","0.738",".315",".328","74.1","91.3",35.3,12.8,44,"102.05460686","95.451719446",29.2,49.5
"Vaughn, Andrew",683734,2024,26,570,619,140,90,30,1,19,132,38,21.3,6.1,".246",".402",".297","0.699",".304",".319","70.8","90.3",33.6,9.3,43.3,"100.921632928","94.702971332",22,49.4
"Keith, Colt",690993,2024,22,516,556,134,102,15,4,13,110,36,19.8,6.5,".260",".380",".309","0.689",".301",".311","71.3","87.8",34.6,5.6,35.3,"98.472613627","93.330372181",23.2,48.6
"France, Ty",664034,2024,29,479,535,112,75,24,0,13,114,38,21.3,7.1,".234",".365",".305","0.670",".296",".303","71","88.7",30.5,7.3,40,"99.663679892","94.004650595",24.2,51.2
"Schwarber, Kyle",656941,2024,31,573,692,142,82,22,0,38,197,106,28.5,15.3,".248",".485",".366","0.851",".366",".380","77.5","93.6",31.8,15.6,55.5,"105.154527813","97.529843438",32,39.9
"Hoskins, Rhys",656555,2024,31,449,517,96,56,14,0,26,149,53,28.8,10.3,".214",".419",".303","0.722",".313",".301","71.2","88.7",29.7,12.7,42.2,"99.737434248","94.057895065",26.3,42.8
"Chisholm Jr., Jazz",665862,2024,26,562,621,144,95,21,4,24,152,53,24.5,8.5,".256",".436",".324","0.760",".327",".316","71.9","89.7",29.6,9.7,41.1,"100.122466782","94.459141861",29.3,47.5
"Schanuel, Nolan",694384,2024,22,519,607,130,98,19,0,13,103,68,17,11.2,".250",".362",".343","0.705",".315",".318","65.2","86.1",36.4,3.5,25.4,"95.305191333","91.662606993",14.4,41.8
"Duran, Jarren",680776,2024,27,671,735,191,108,48,14,21,160,54,21.8,7.3,".285",".492",".342","0.834",".357",".338","73.6","90.8",33.8,9.3,43.9,"101.928155512","95.341113209",24.8,48.3
"Walker, Christian",572233,2024,33,479,552,120,68,26,0,26,133,55,24.1,10,".251",".468",".335","0.803",".343",".351","75","91.2",35,13.3,48,"103.127969548","96.011102521",25.6,48
"Seager, Corey",608369,2024,30,475,533,132,81,21,0,30,96,53,18,9.9,".278",".512",".353","0.865",".365",".390","72.3","92.1",38.6,15.2,50.7,"103.274395474","96.157523456",23.4,53
"Henderson, Gunnar",683002,2024,23,630,719,177,102,31,7,37,159,78,22.1,10.8,".281",".529",".364","0.893",".381",".374","76.3","92.8",34.5,11.2,53.9,"104.002332911","96.835723291",24.4,44.2
"García, Adolis",666969,2024,31,580,637,130,78,27,0,25,177,45,27.8,7.1,".224",".400",".284","0.684",".296",".306","72","91",33.7,12.5,48.2,"101.827676765","95.435631691",34.3,52.1
"Alvarez, Yordan",670541,2024,27,552,635,170,99,34,2,35,95,69,15,10.9,".308",".567",".392","0.959",".402",".411","76.5","93.1",35.4,14.5,49.7,"104.097105087","96.703519522",19.9,47.8
"Diaz, Yainer",673237,2024,25,585,619,175,127,29,3,16,107,24,17.3,3.9,".299",".441",".325","0.766",".329",".339","72.5","90.2",35,7.6,47.5,"101.297056214","95.034359505",24,58.8
"Santana, Carlos",467793,2024,38,521,594,124,75,26,0,23,99,65,16.7,10.9,".238",".420",".328","0.748",".326",".330","71.8","89.2",30.9,7.3,39.9,"99.506124387","94.004167778",23.3,43.3
"Raleigh, Cal",663728,2024,27,546,628,120,70,16,0,34,176,70,28,11.1,".220",".436",".312","0.748",".323",".346","74.5","91",35.6,15.4,48.1,"102.032071755","95.508789467",31,52.3
"Merrill, Jackson",701538,2024,21,554,593,162,101,31,6,24,101,29,17,4.9,".292",".500",".326","0.826",".352",".369","72.2","90.4",39.6,11.3,43.9,"100.811784978","94.735707484",20.5,56.9
"Paredes, Isaac",670623,2024,25,542,641,129,84,25,1,19,105,76,16.4,11.9,".238",".393",".346","0.739",".327",".304","68.2","85",37,4.5,27.1,"95.875582928","91.952619865",17.2,44.7
"Witt Jr., Bobby",677951,2024,24,636,709,211,123,45,11,32,106,57,15,8,".332",".588",".389","0.977",".410",".407","74.7","92.7",35.7,14.3,48.3,"103.972880446","96.499868141",22.3,51.2
"Castro, Willi",650489,2024,27,558,635,138,90,31,5,12,150,51,23.6,8,".247",".385",".331","0.716",".317",".320","70.6","87.4",39,7,36.8,"98.851706502","93.501303852",29,51.4
"Hernández, Teoscar",606192,2024,31,589,652,160,93,32,2,33,188,53,28.8,8.1,".272",".501",".339","0.840",".360",".346","73.2","90.6",33.8,14.9,46.8,"102.727395423","95.689116559",34,51.2
"Busch, Michael",683737,2024,26,496,567,123,72,28,2,21,162,63,28.6,11.1,".248",".440",".335","0.775",".336",".319","70.3","89.9",36.4,11.2,39.9,"99.992212321","94.35127744",28.4,45.2
"Meyers, Jake",676694,2024,28,461,513,101,65,20,3,13,117,35,22.8,6.8,".219",".360",".286","0.646",".285",".304","68.6","88.2",34.8,6.8,37,"99.317270058","93.726741906",27,49.1
"O'Hoppe, Logan",681351,2024,24,479,522,117,79,17,1,20,155,33,29.7,6.3,".244",".409",".303","0.712",".311",".331","70.7","90.4",42.9,12,46.3,"101.233350982","95.0870388",33.6,52
"Stott, Bryson",681082,2024,26,506,571,124,92,19,2,11,93,53,16.3,9.3,".245",".356",".315","0.671",".296",".306","68.2","87",35.3,3.6,30.8,"97.149266143","92.631038831",17,44.1
"Burleson, Alec",676475,2024,25,547,595,147,106,20,0,21,76,35,12.8,5.9,".269",".420",".314","0.734",".319",".329","71.2","89.7",34.3,6.5,41.7,"99.381927173","94.012155751",19.2,55.7
"India, Jonathan",663697,2024,27,533,637,132,87,28,2,15,125,80,19.6,12.6,".248",".392",".357","0.749",".333",".352","71.7","87.2",39.3,7.7,36.5,"98.90319256","93.547150797",19.2,38.3
"Smith, Josh",669701,2024,26,523,592,135,91,30,1,13,121,46,20.4,7.8,".258",".394",".337","0.731",".323",".304","70.1","87.8",33.7,3.7,37.1,"98.306997711","93.25999596",21.8,47.1
"Lindor, Francisco",596019,2024,30,618,689,169,96,39,1,33,127,56,18.4,8.1,".273",".500",".344","0.844",".363",".379","72.4","90.9",35.4,13.6,47.4,"101.098117236","95.07615815",23.7,48.7
"Happ, Ian",664023,2024,29,569,657,138,77,34,2,25,168,80,25.6,12.2,".243",".441",".341","0.782",".341",".345","72.4","90.8",37,11.7,45.2,"101.590666318","95.287992294",27.9,45.9
"Arraez, Luis",650333,2024,27,637,672,200,161,32,3,4,29,24,4.3,3.6,".314",".392",".346","0.738",".323",".325","63.1","86.3",40.9,1.6,23.7,"94.838000362","91.449624457",6.9,49.8
"Verdugo, Alex",657077,2024,28,559,621,130,88,28,1,13,93,49,15,7.9,".233",".356",".291","0.647",".283",".302","68.3","88.3",31.6,5.6,34.9,"98.009613263","93.0881338",15.5,44.7
"Smith, Will",669257,2024,29,476,544,118,72,24,2,20,105,51,19.3,9.4,".248",".433",".327","0.760",".326",".331","67.9","89.4",38.3,10.8,42,"99.318269153","93.929159392",20.9,46.2
"Contreras, William",661388,2024,26,595,679,167,105,37,2,23,139,78,20.5,11.5,".281",".466",".365","0.831",".359",".358","74.7","92.8",29,10,49.5,"103.875480043","96.642602527",27.8,47.4
"Bellinger, Cody",641355,2024,28,516,569,137,93,23,3,18,89,45,15.6,7.9,".266",".426",".325","0.751",".322",".301","69","87.8",32.9,6.3,32.9,"97.314029213","92.768351065",22.2,49.8
"Langford, Wyatt",694671,2024,22,499,557,126,81,25,4,16,115,51,20.6,9.2,".253",".415",".325","0.740",".321",".331","74.5","89.6",31.3,9.3,43.4,"101.211098854","94.807365599",22.9,42.8
"Díaz, Yandy",650490,2024,32,563,621,158,112,31,1,14,95,50,15.3,8.1,".281",".414",".341","0.755",".331",".336","73.3","92.2",28.4,7.6,48.7,"103.441830979","96.263007825",14.2,43.9
"Suárez, Eugenio",553993,2024,32,571,640,146,86,28,2,30,176,49,27.5,7.7,".256",".469",".319","0.788",".337",".330","72.2","89.1",40.4,11.3,42.4,"100.570552315","94.463438988",29.1,47.2
"Cowser, Colton",681297,2024,24,499,561,121,70,24,3,24,172,52,30.7,9.3,".242",".447",".321","0.768",".331",".326","73.8","90.5",32.1,13.6,46.1,"101.838992303","95.374243739",30.4,44.5
"McCutchen, Andrew",457705,2024,37,448,515,104,65,18,1,20,133,58,25.8,11.3,".232",".411",".328","0.739",".325",".327","72.7","88.5",31.9,12,36.9,"99.424962893","93.831123091",28.9,42
"Marte, Ketel",606466,2024,30,504,583,147,86,23,2,36,106,65,18.2,11.1,".292",".560",".372","0.932",".391",".392","73.7","94",33.7,12.3,53.8,"103.991137178","96.920444406",21.3,48.2
"Ward, Taylor",621493,2024,30,585,663,144,91,26,2,25,163,63,24.6,9.5,".246",".426",".323","0.749",".325",".344","69.8","90.9",41.9,13,42.4,"100.017751581","94.464585641",25.5,43.2
