"last_name, first_name","player_id","year","player_age","p_game","pa","hit","home_run","k_percent","bb_percent","batting_avg","p_out","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Marsh, Alec",679525,2024,26,"26",548,123,19,22.4,7.1,".249","387",".325",".341",38,9.6,40.9,"78.827178162","94.623945041",23.5,47.6
"Ober, Bailey",641927,2024,28,"31",709,136,27,26.9,6.1,".208","536",".282",".279",34.8,8.3,34.3,"76.699154464","93.270078151",29,52.4
"Jones, Jared",683003,2024,22,"22",504,106,18,26.2,7.7,".232","365",".314",".311",36.9,9.8,44.5,"79.019910366","94.534128685",30.2,51.6
"Montgomery, Jordan",656756,2024,31,"25",532,149,14,15.6,8.3,".312","351",".370",".347",36.6,6,41,"77.212722234","94.218289135",26.9,49.6
"Bassitt, Chris",605135,2024,35,"31",758,180,18,22.2,9.2,".270","513",".331",".327",36.3,7.5,37.1,"75.64419492","94.077816493",21.7,45
"Gomber, Austin",596295,2024,30,"30",696,178,30,16.7,5.5,".273","495",".339",".344",37.7,9.6,41.2,"80.036265299","94.432492071",19.9,48.3
"Houck, Tanner",656557,2024,28,"30",743,156,11,20.7,6.5,".231","536",".276",".313",30.2,5.7,41.8,"78.489312385","94.430703969",22.6,46.8
"Flaherty, Jack",656427,2024,28,"28",649,135,24,29.9,5.9,".223","486",".288",".292",36.1,7.7,35.9,"77.445862362","93.776478992",32.1,46.2
"Cease, Dylan",656302,2024,28,"33",762,137,18,29.4,8.5,".200","568",".266",".283",32.4,8.5,38.6,"78.282702241","94.084709267",32.4,48.2
"Irvin, Jake",663623,2024,27,"33",769,173,29,20.3,6.8,".244","563",".314",".320",33,9.2,39.1,"77.537675273","94.341422273",22.3,48.5
"Montas, Frankie",593423,2024,31,"30",655,140,24,22.6,10.1,".243","452",".325",".333",36.2,9.2,43.1,"77.762357972","94.576313396",24.9,48.7
"Canning, Griffin",656288,2024,28,"32",739,174,31,17.6,8.9,".265","515",".341",".334",32.4,8.6,41.9,"80.443886517","94.700505891",24.5,48.4
"Cortes Jr., Nestor",641482,2024,29,"31",710,162,24,22.8,5.5,".245","523",".307",".295",35,7.9,43.6,"79.122676225","94.470879177",24.2,50.4
"Peterson, David",656849,2024,28,"21",510,110,8,19.8,9,".243","363",".299",".329",35.7,7.3,42.7,"78.331204972","94.426613853",25.6,47.8
"Pivetta, Nick",601713,2024,31,"27",595,128,28,28.9,6.1,".231","437",".306",".291",38.9,10.1,38.9,"79.225758698","93.96201671",25.6,50.3
"Waldron, Matt",663362,2024,27,"27",625,145,21,21.3,6.4,".255","440",".323",".313",33.9,7,35,"77.177450505","93.585477592",20.8,45.3
"Skubal, Tarik",669373,2024,27,"31",753,142,15,30.3,4.6,".201","576",".246",".257",33.1,6.7,33.9,"76.236530506","93.34039981",31.9,51.8
"Arrighetti, Spencer",681293,2024,24,"29",632,139,21,27.1,10.3,".250","435",".332",".311",38.3,7.7,39.8,"77.934348615","94.124621851",27.7,47.2
"Lorenzen, Michael",547179,2024,32,"26",535,101,17,18.1,11,".216","391",".303",".329",32.2,8,39.4,"76.902993817","94.185249946",22.8,44.7
"Steele, Justin",657006,2024,28,"24",555,111,12,24.3,6.7,".219","404",".271",".258",30.9,4.2,33.2,"75.731326576","93.083319918",23.7,51.5
"Pérez, Martín",527048,2024,33,"26",590,151,22,18.1,8.3,".283","405",".351",".353",34.3,8.6,41.5,"76.89241338","94.749829061",21,46
"Lynn, Lance",458681,2024,37,"23",511,113,16,21.3,8.6,".247","352",".314",".340",37,10.5,39.3,"77.577234686","94.259379457",24.1,48.4
"Gallen, Zac",668678,2024,28,"28",621,133,13,25.1,8.7,".237","444",".301",".308",34.9,7.4,41,"79.81895601","94.40298237",26,44.2
"López, Reynaldo",625643,2024,30,"26",543,108,10,27.3,7.7,".220","407",".271",".307",37.3,8.8,42.2,"79.439650977","94.317767471",27.5,49
"Myers, Tobias",668964,2024,25,"27",569,126,18,22.3,6.3,".242","414",".297",".317",36.4,8,38.7,"79.298209695","94.361623995",21.3,49.6
"Castillo, Luis",622491,2024,31,"30",719,158,25,24.3,6.5,".238","526",".305",".306",37,8.5,41.9,"78.938131564","94.546516728",25.9,50.6
"Abbott, Andrew",671096,2024,25,"25",586,127,25,19.5,8.9,".240","414",".323",".310",36.6,9.3,33.5,"78.18333039","93.177609095",22.6,47.6
"Keller, Mitch",656605,2024,28,"31",773,182,23,21.5,6.5,".261","534",".331",".320",38,7.2,39.3,"77.859026134","94.078079089",21.5,47.6
"Nola, Aaron",605400,2024,31,"33",820,189,30,24,6.1,".247","598",".310",".299",35.4,7.2,38.2,"77.265343569","94.038174053",25.2,48.6
"Crawford, Kutter",676710,2024,28,"33",759,155,34,23.1,6.7,".223","551",".304",".304",33.4,9.9,36.3,"77.710617066","93.646279363",25.3,52
"Suárez, Ranger",624133,2024,28,"27",626,140,14,23.2,6.5,".243","452",".297",".297",32.9,5.1,34.3,"74.743507217","93.618829764",21.9,47.3
"Taillon, Jameson",592791,2024,32,"28",675,154,21,18.5,4.9,".243","496",".289",".311",32.2,7.2,38.8,"79.650003386","94.067909961",19.5,48.2
"Eflin, Zach",621107,2024,30,"28",684,166,22,19.6,3.5,".254","496",".297",".297",30,7.5,36.1,"76.388751434","94.040596667",21.6,50
"Woods Richardson, Simeon",680573,2024,23,"28",569,125,16,20.6,8.4,".246","401",".305",".311",35.7,8.2,36.2,"78.06318392","93.54377801",22.3,49.8
"Flexen, Chris",623167,2024,29,"33",707,180,24,17.4,8.9,".283","480",".355",".333",37,8.1,37.4,"77.948608016","93.935523035",22.7,46
"Heaney, Andrew",571760,2024,33,"32",693,159,23,22.9,5.9,".251","480",".312",".325",37.4,8.3,40.1,"78.990582236","94.388347616",26.3,50.3
"Skenes, Paul",694973,2024,22,"23",514,94,10,33.1,6.2,".198","399",".247",".248",27.8,5.2,36.3,"76.618528618","93.629853102",28.7,49.8
"Glasnow, Tyler",607192,2024,30,"22",522,92,15,32.2,6.7,".190","402",".258",".254",32.5,8.5,40.1,"78.136298153","94.139426422",30.9,48.4
"Rodón, Carlos",607074,2024,31,"32",736,157,31,26.5,7.7,".235","525",".320",".314",34.6,11,40.9,"80.220048043","94.543522745",30.1,49.4
"Eovaldi, Nathan",543135,2024,34,"29",696,147,23,23.9,6,".229","512",".291",".306",33.5,7.7,42.6,"77.906442017","94.485768718",26.8,52.2
"Sears, JP",676664,2024,28,"32",758,172,28,18.1,6.5,".251","542",".324",".324",32.7,10.2,40.2,"78.173332182","94.379787855",21.8,48.7
"Bradley, Taj",671737,2024,23,"25",578,122,22,26.6,8.1,".235","414",".308",".315",34.9,10.2,42.9,"81.556942554","94.766375924",27.4,50.7
"Pfaadt, Brandon",694297,2024,25,"32",760,183,24,24.3,5.5,".259","545",".312",".301",33,8.1,39.4,"78.684914866","94.224942476",25.4,49.3
"Rea, Colin",607067,2024,33,"32",714,169,29,18.9,6,".258","503",".327",".339",36.3,8.7,42,"80.213678192","94.594415173",19.3,46.8
"Assad, Javier",665871,2024,26,"29",638,143,20,19.4,9.9,".254","441",".330",".341",36,8.8,39.8,"78.304060092","94.272452936",17.9,42.5
"Berríos, José",621244,2024,30,"32",786,168,31,19.5,6.9,".235","577",".308",".334",36.3,7.8,41.8,"79.087839143","94.188449928",21.1,46.7
"Crochet, Garrett",676979,2024,25,"32",595,123,18,35.1,5.5,".222","438",".280",".263",34.5,9.2,38.8,"76.536271919","94.146127471",33.1,53.2
"Sale, Chris",519242,2024,35,"29",702,141,9,32.1,5.6,".216","533",".260",".261",34.9,5.6,31.2,"75.016805094","93.046190662",31,49
"Parker, Mitchell",680730,2024,24,"29",646,154,18,20.6,6.7,".259","453",".311",".322",35.3,8.1,38.9,"79.509350699","94.140672817",22.3,51.4
"Hendricks, Kyle",543294,2024,34,"29",567,147,21,15.3,7.6,".286","392",".339",".336",36.4,7.4,33.4,"73.587198843","93.098027796",18.9,46.2
"Pallante, Andre",669467,2024,25,"29",509,110,8,18.5,9.4,".240","364",".293",".289",24.4,3.3,38.1,"75.339766989","93.795724801",19.8,46.4
