"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","avg_swing_speed","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Bogaerts, Xander",593428,2017,24,571,635,156,108,32,6,10,116,56,18.3,8.8,".273",".403",".343","0.746",".321",".287",,"87.3",26.7,1.3,30.2,"98.141221272","93.123143026",20.8,41.9
"Rizzo, Anthony",519203,2017,27,572,691,156,89,32,3,32,90,91,13,13.2,".273",".507",".392","0.899",".380",".395",,"88.4",34.2,9.3,39.1,"100.330837875","94.252253424",18.2,46.5
"Gonzalez, Marwin",503556,2017,28,455,515,138,81,34,0,23,99,49,19.2,9.5,".303",".530",".377","0.907",".382",".320",,"88.7",29.4,6.6,36.6,"98.976971932","93.631260456",20.3,42.4
"Mancini III, Trey",641820,2017,25,543,586,159,105,26,4,24,139,33,23.7,5.6,".293",".488",".338","0.826",".349",".338",,"88.6",30.9,10,41.2,"100.89602802","94.621143144",28.4,50.9
"Yelich, Christian",592885,2017,25,602,694,170,114,36,2,18,137,80,19.7,11.5,".282",".439",".369","0.808",".348",".363",,"90.6",29.5,7,45.8,"102.279437897","95.40188514",22.1,42.5
"Gurriel Jr., Yuli",493329,2017,33,529,564,158,96,43,1,18,62,22,11,3.9,".299",".486",".332","0.818",".344",".326",,"89.9",29.2,3.4,43.5,"100.797824255","94.666288745",17.7,48.3
"Healy, Ryon",592387,2017,25,576,605,156,102,29,0,25,142,23,23.5,3.8,".271",".451",".302","0.753",".320",".313",,"88.3",35.6,7.6,40.4,"100.120816558","94.153437791",26.8,47.6
"Benintendi, Andrew",643217,2017,22,573,658,155,108,26,1,20,112,70,17,10.6,".271",".424",".352","0.776",".332",".338",,"87.5",31.7,5.5,33.4,"98.285891373","93.220964678",19.2,44.1
"Mazara, Nomar",608577,2017,22,554,616,140,88,30,2,20,127,55,20.6,8.9,".253",".422",".323","0.745",".317",".318",,"89",30.5,6.5,37.1,"100.356946698","94.279860233",25.7,46.1
"Carpenter, Matt",572761,2017,31,497,622,120,64,31,2,23,125,109,20.1,17.5,".241",".451",".384","0.835",".361",".379",,"89.7",37.7,8.2,37,"98.859121087","93.683129538",19.5,34.6
"Andrus, Elvis",462101,2017,28,643,689,191,123,44,4,20,101,38,14.7,5.5,".297",".471",".337","0.808",".344",".309",,"86.5",32.5,4.2,31.3,"97.34644348","92.675939744",19.6,47.3
"Pham, Tommy",502054,2017,29,444,530,136,89,22,2,23,117,71,22.1,13.4,".306",".520",".411","0.931",".398",".377",,"89.6",34.3,9.3,43.7,"102.042591879","95.223853252",21,37.9
"Canó, Robinson",429664,2017,34,592,648,166,110,33,0,23,85,49,13.1,7.6,".280",".453",".338","0.791",".334",".355",,"90.3",33.9,6.3,44,"101.09943898","94.796904086",17.8,52
"Cozart, Zack",446359,2017,31,438,507,130,75,24,7,24,78,62,15.4,12.2,".297",".548",".385","0.933",".392",".330",,"85.8",35.7,4.4,28.9,"96.24154978","92.132340744",16,40.9
"Buxton, Byron",621439,2017,23,462,511,117,81,14,6,16,150,38,29.4,7.4,".253",".413",".314","0.727",".312",".298",,"88.1",32.3,5.6,32,"98.610982721","93.385318191",31.1,49.6
"Anderson, Tim",641313,2017,24,587,606,151,104,26,4,17,162,13,26.7,2.1,".257",".402",".276","0.678",".288",".274",,"85.6",31.8,5.1,31.1,"97.427925429","92.716202071",29.8,55.1
"Realmuto, J.T.",592663,2017,26,532,579,148,95,31,5,17,106,36,18.3,6.2,".278",".451",".332","0.783",".332",".335",,"88.2",32.6,6.3,35.5,"99.057183458","93.605391733",19.2,48.3
"Betts, Mookie",605141,2017,24,628,712,166,94,46,2,24,79,77,11.1,10.8,".264",".459",".344","0.803",".339",".340",,"88.4",31.9,4.5,37.9,"99.348080766","93.801429818",15.7,35.9
"Markakis, Nick",455976,2017,33,593,670,163,115,39,1,8,110,68,16.4,10.1,".275",".384",".354","0.738",".321",".320",,"88.3",34,3.3,34.7,"98.025201618","93.159777069",15.6,40.7
"Pence, Hunter",452254,2017,34,493,539,128,97,13,5,13,102,40,18.9,7.4,".260",".385",".315","0.700",".303",".319",,"89",25.3,5.8,37.6,"99.58201599","93.953045685",26.9,44.8
"Votto, Joey",458015,2017,33,559,707,179,108,34,1,36,83,134,11.7,19,".320",".578",".454","1.032",".428",".416",,"87.5",40.5,9.1,32.8,"97.453070166","92.834896258",15.4,41.9
"Hernández, César",514917,2017,27,511,577,150,109,26,6,9,104,61,18,10.6,".294",".421",".373","0.794",".346",".331",,"85.7",33.3,2.9,29.7,"96.927691371","92.494293766",20.8,41.1
"Franco, Maikel",596748,2017,24,575,623,132,78,29,1,24,95,41,15.2,6.6,".230",".409",".281","0.690",".292",".303",,"88.8",26.6,6,36.2,"99.874009298","94.021723996",22.3,50.3
"Odor, Rougned",596059,2017,23,607,651,124,70,21,3,30,162,32,24.9,4.9,".204",".397",".252","0.649",".272",".289",,"89.1",27.2,6,36.6,"99.639037783","93.931314864",26.1,52.9
"Judge, Aaron",592450,2017,25,542,678,154,75,24,3,52,208,127,30.7,18.7,".284",".627",".422","1.049",".430",".450",,"95",38.2,25.7,54.7,"108.114253018","98.934467418",34.9,41.1
"Alonso, Yonder",475174,2017,30,451,521,120,70,22,0,28,118,68,22.6,13.1,".266",".501",".365","0.866",".366",".362",,"89.2",35.7,9.9,41.1,"100.057401916","94.206907808",26.1,47.2
"Phillips, Brandon",408252,2017,36,572,604,163,115,34,1,13,73,21,12.1,3.5,".285",".416",".319","0.735",".316",".300",,"84.6",31.1,2.4,25.1,"95.331401585","91.737077703",20.2,56.3
"Ramírez, José",608070,2017,24,585,645,186,95,56,6,29,69,52,10.7,8.1,".318",".583",".374","0.957",".396",".360",,"88.2",35.5,5,34.7,"98.290089264","93.223881996",13.6,43.3
"Upton, Justin",457708,2017,29,557,635,152,73,44,0,35,180,74,28.3,11.7,".273",".540",".361","0.901",".378",".361",,"88.8",36,13.2,41.3,"100.869304656","94.541684074",30.5,44.4
"Trout, Mike",545361,2017,25,402,507,123,62,25,3,33,90,94,17.8,18.5,".306",".629",".442","1.071",".437",".425",,"88.8",36.4,13.3,39.9,"102.005181076","95.046112595",18.2,37.7
"Bell, Josh",605137,2017,24,549,620,140,82,26,6,26,117,66,18.9,10.6,".255",".466",".334","0.800",".338",".333",,"87.6",28.9,6.4,34.3,"98.967820926","93.519439768",23.5,43.6
"Castellanos, Nick",592206,2017,25,614,665,167,95,36,10,26,142,41,21.4,6.2,".272",".490",".320","0.810",".341",".373",,"89.1",42.8,10.7,42,"99.656003697","94.03061645",26.8,51.2
"Davis, Chris",448801,2017,31,456,524,98,56,15,1,26,195,61,37.2,11.6,".215",".423",".309","0.732",".312",".329",,"90.1",40.4,12.8,45.5,"101.208092652","94.924044487",35.2,42.9
"Moustakas, Mike",519058,2017,28,555,598,151,89,24,0,38,94,34,15.7,5.7,".272",".521",".314","0.835",".345",".338",,"87.4",34,8.6,33.8,"98.85229069","93.438181577",20.9,55.7
"Gregorius, Didi",544369,2017,27,534,569,153,101,27,0,25,70,25,12.3,4.4,".287",".478",".318","0.796",".335",".294",,"84.5",35.5,3.6,20.9,"94.283550726","91.231041517",21.8,58.4
"Merrifield, Whit",593160,2017,28,587,630,169,112,32,6,19,88,29,14,4.6,".288",".460",".324","0.784",".332",".327",,"87.6",36.5,5.1,29.6,"96.915633226","92.563743185",17.5,50.8
"Murphy, Daniel",502517,2017,32,534,593,172,103,43,3,23,77,52,13,8.8,".322",".543",".384","0.927",".385",".359",,"89.6",39.6,4.8,41.8,"99.20205313","93.870564488",13.7,47.1
"Souza Jr., Steven",519306,2017,28,523,617,125,72,21,2,30,179,84,29,13.6,".239",".459",".351","0.810",".348",".350",,"88.8",33.4,11.5,38.6,"100.694178","94.395868941",32,44.1
"Rendon, Anthony",543685,2017,27,508,605,153,86,41,1,25,82,84,13.6,13.9,".301",".533",".403","0.936",".394",".369",,"89.8",34.7,6.5,38.4,"98.816573832","93.605964941",14.3,40.5
"Goldschmidt, Paul",502671,2017,29,558,664,166,93,34,3,36,147,94,22.1,14.2,".297",".563",".404","0.967",".400",".397",,"91.5",32.8,13.3,47.5,"101.943215433","95.53559947",26.5,40.9
