"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","avg_swing_speed","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Gennett, Scooter",571697,2018,28,584,638,181,125,30,3,23,125,42,19.6,6.6,".310",".490",".357","0.847",".362",".311",,"87.3",37.5,5.8,32.3,"97.179696753","92.670910889",20.2,53.6
"Hamilton, Billy",571740,2018,27,504,556,119,90,16,9,4,132,46,23.7,8.3,".236",".327",".299","0.626",".277",".256",,"80.5",36.6,0.5,8.5,"89.217314033","89.436125276",23.9,48.6
"Haniger, Mitch",571745,2018,27,596,683,170,102,38,4,26,148,70,21.7,10.2,".285",".493",".366","0.859",".367",".366",,"90.2",36.5,10.3,43.2,"100.909986608","94.71924207",23.3,41.8
"Piscotty, Stephen",572039,2018,27,546,605,146,78,41,0,27,114,42,18.8,6.9,".267",".491",".331","0.822",".351",".356",,"88.5",34.3,9.6,38.7,"99.557644654","93.875006475",25.5,53.3
"Seager, Kyle",572122,2018,30,583,630,129,70,36,1,22,138,38,21.9,6,".221",".400",".273","0.673",".288",".305",,"89.8",37,5.6,39.6,"98.826304866","93.604766094",22.3,47.2
"Carpenter, Matt",572761,2018,32,564,676,145,67,42,0,36,158,102,23.4,15.1,".257",".523",".374","0.897",".375",".389",,"90.7",44.1,13.7,44.7,"100.1082214","94.5737371",24.2,37.5
"Dickerson, Corey",572816,2018,29,504,533,151,96,35,7,13,80,21,15,3.9,".300",".474",".330","0.804",".341",".330",,"87.9",37.6,6.1,32.4,"97.786101745","92.916270165",22.1,59.4
"Dozier, Brian",572821,2018,31,553,632,119,66,30,2,21,129,70,20.4,11.1,".215",".391",".305","0.696",".304",".288",,"86.8",30.5,6.3,29.4,"96.03410601","92.028184038",22.6,39.8
"Contreras, Willson",575929,2018,26,474,544,118,76,27,5,10,121,53,22.2,9.7,".249",".390",".339","0.729",".321",".303",,"88.2",28.9,7.3,33.3,"99.890442931","93.949346351",28.1,49.7
"Castellanos, Nick",592206,2018,26,620,678,185,111,46,5,23,151,49,22.3,7.2,".298",".500",".354","0.854",".363",".374",,"89.6",45.3,11.2,40.7,"99.334787542","93.887539089",30.2,55.1
"Healy, Ryon",592387,2018,26,493,524,116,77,15,0,24,113,27,21.6,5.2,".235",".412",".277","0.689",".296",".322",,"89.6",32.2,7.1,41.6,"100.362215526","94.321891316",25.4,47.5
"Machado, Manny",592518,2018,25,632,709,188,113,35,3,37,104,70,14.7,9.9,".297",".538",".367","0.905",".377",".369",,"91.6",33.8,11.3,48.2,"102.92654779","95.846052083",22.2,48.9
"Realmuto, J.T.",592663,2018,27,477,529,132,78,30,3,21,104,38,19.7,7.2,".277",".484",".340","0.824",".353",".351",,"88.9",39.8,9,41.2,"99.592811111","93.991368276",22.5,47.1
"Rosario, Eddie",592696,2018,26,559,592,161,104,31,2,24,104,30,17.6,5.1,".288",".479",".323","0.802",".340",".302",,"87.7",32.5,8.3,34.2,"97.544744865","92.844520405",23.4,58
"Simmons, Andrelton",592743,2018,28,554,600,162,120,26,5,11,44,35,7.3,5.8,".292",".417",".337","0.754",".326",".316",,"88.2",28.3,4.1,36.3,"98.349949646","93.226546693",13.7,45.6
"Yelich, Christian",592885,2018,26,574,651,187,110,34,7,36,135,68,20.7,10.4,".326",".598",".402","1.000",".422",".416",,"92.6",36.7,12.9,50.8,"103.601265936","96.465574863",22.9,44.3
"Merrifield, Whit",593160,2018,29,632,707,192,134,43,3,12,114,61,16.1,8.6,".304",".438",".367","0.805",".349",".343",,"87",40.9,4.6,31.2,"96.66095251","92.375330251",19,47.9
"Bogaerts, Xander",593428,2018,25,513,580,148,77,45,3,23,102,55,17.6,9.5,".288",".522",".360","0.882",".373",".363",,"90.6",32.9,9.8,41.8,"101.100815529","94.926741831",21.1,43.2
"Calhoun, Kole",594777,2018,30,491,551,102,63,18,2,19,133,53,24.1,9.6,".208",".369",".283","0.652",".283",".332",,"90.4",34.3,9.3,43.1,"99.929027308","94.32071272",28.5,49.2
"Profar, Jurickson",595777,2018,25,524,594,133,72,35,6,20,88,54,14.8,9.1,".254",".458",".335","0.793",".341",".323",,"87.3",33.6,5,31.8,"97.443892545","92.779007182",18.7,48.6
"Báez, Javier",595879,2018,25,606,645,176,93,40,9,34,167,29,25.9,4.5,".290",".554",".326","0.880",".366",".340",,"90.6",33.1,12.6,43.3,"101.960975256","95.233508395",33.9,57.9
"Lindor, Francisco",596019,2018,24,661,745,183,101,42,2,38,107,70,14.4,9.4,".277",".519",".352","0.871",".368",".375",,"90.6",34.3,9.3,41,"100.765468945","94.6836536",17.6,47.1
"Odor, Rougned",596059,2018,24,474,535,120,77,23,2,18,127,43,23.7,8,".253",".424",".326","0.750",".325",".318",,"90.7",30.5,7.1,38.7,"100.916553114","94.677154835",23.1,48.5
"Story, Trevor",596115,2018,25,598,656,174,89,42,6,37,168,47,25.6,7.2,".291",".567",".348","0.915",".384",".358",,"91",38.2,12.7,46.2,"102.395632222","95.482000348",24.9,50.3
"Kepler, Max",596146,2018,25,532,611,119,65,30,4,20,96,71,15.7,11.6,".224",".408",".319","0.727",".316",".324",,"89.5",30.1,6.6,38.2,"99.909473889","94.078713565",17.8,42.7
"Bradley Jr., Jackie",598265,2018,28,474,535,111,61,33,4,13,137,46,25.6,8.6,".234",".403",".314","0.717",".310",".343",,"92.2",35.2,10.3,50.1,"101.981686","95.654560855",30.7,47.3
"Candelario, Jeimer",600869,2018,24,539,619,121,71,28,3,19,160,66,25.8,10.7,".224",".393",".317","0.710",".311",".292",,"87.1",32,6,33.6,"98.291855781","93.146780938",25.6,42.6
"Ahmed, Nick",605113,2018,28,516,564,121,67,33,5,16,109,40,19.3,7.1,".234",".411",".290","0.701",".300",".292",,"86.9",36.3,5.1,30,"96.624658634","92.358719756",25.3,50.4
"Anderson, Brian",605119,2018,25,590,670,161,112,34,4,11,129,62,19.3,9.3,".273",".400",".357","0.757",".333",".334",,"90.2",29.2,5.8,42.4,"100.726437706","94.570017532",24.3,46.3
"Bell, Josh",605137,2018,25,501,583,131,84,31,4,12,104,77,17.8,13.2,".261",".411",".357","0.768",".336",".340",,"90.2",29.6,7,39.3,"100.957818392","94.683419372",24.4,43
"Betts, Mookie",605141,2018,25,520,614,180,96,47,5,32,91,81,14.8,13.2,".346",".640",".438","1.078",".449",".431",,"92.2",39.4,14.1,50.6,"101.383521852","95.486972454",15.5,35.6
