"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","avg_swing_speed","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Arenado, Nolan",571448,2023,32,560,612,149,95,26,2,26,101,41,16.5,6.7,".266",".459",".315","0.774",".327",".320","71.4","88.8",33,7.3,38.1,"99.311427863","93.760489679",20.2,48.5
"Thomas, Lane",657041,2023,27,628,682,168,101,36,3,28,176,36,25.8,5.3,".268",".468",".315","0.783",".334",".319","71.7","88.5",36.8,9.6,40.7,"100.191573957","94.319062004",23,43.6
"Walker, Christian",572233,2023,32,582,661,150,79,36,2,33,127,62,19.2,9.4,".258",".497",".333","0.830",".351",".339","75","88",32.6,11.4,40.4,"100.601281422","94.397470475",26.4,48.6
"Abreu, José",547989,2023,36,540,594,128,86,23,1,18,130,42,21.9,7.1,".237",".383",".296","0.679",".295",".314","74","89",32.5,8.7,41.6,"100.821833606","94.59770588",26.4,50.1
"Vaughn, Andrew",683734,2023,25,566,615,146,93,30,2,21,129,36,21,5.9,".258",".429",".314","0.743",".321",".319","70.2","90.6",30.3,8.4,46.5,"101.661403","95.348849294",24.1,47.5
"Bregman, Alex",608324,2023,29,622,724,163,106,28,4,25,87,92,12,12.7,".262",".441",".363","0.804",".351",".351","70.2","88.6",35.8,5.4,38.2,"98.071537732","93.248960689",14.1,38.7
"Seager, Corey",608369,2023,29,477,536,156,81,42,0,33,88,49,16.4,9.1,".327",".623",".390","1.013",".419",".412","71.8","93.3",38,15.2,53.2,"103.543493485","96.785948962",25,55.1
"Crawford, J.P.",641487,2023,28,534,638,142,88,35,0,19,125,94,19.6,14.7,".266",".438",".380","0.818",".359",".340","71.9","88.3",35.3,4.8,36.2,"99.143101569","93.649442623",18.6,38.6
"Cronenworth, Jake",630105,2023,29,458,522,105,64,24,7,10,97,46,18.6,8.8,".229",".378",".312","0.690",".301",".305","68.3","87.4",35.7,4.4,33.2,"97.73147257","92.917093417",16,47.6
"Correa, Carlos",621043,2023,28,514,580,118,69,29,2,18,131,59,22.6,10.2,".230",".399",".312","0.711",".309",".327","74.8","90.4",31.1,9.6,45.9,"102.481230628","95.635527984",25.1,43.6
"Perez, Salvador",521692,2023,33,538,580,137,93,21,0,23,135,19,23.3,3.3,".255",".422",".292","0.714",".302",".325","72.7","90.1",38,8.8,44,"101.357412537","94.955683293",30.2,60.2
"Ramírez, José",608070,2023,30,611,691,172,107,36,5,24,73,73,10.6,10.6,".282",".475",".356","0.831",".346",".359","70.5","90",36.8,7,40.4,"100.07775","94.35370079",15.6,46.6
"Ozuna, Marcell",542303,2023,32,530,592,145,75,29,1,40,134,57,22.6,9.6,".274",".558",".346","0.904",".381",".393","75","91.8",34.9,16.6,49,"103.257673232","96.232240934",26.7,48.4
"Muncy, Max",571970,2023,32,482,579,102,48,17,1,36,153,85,26.4,14.7,".212",".475",".333","0.808",".344",".364","71.3","91.2",33.7,14.6,46.6,"101.315308623","95.11269018",29.6,39.3
"Suwinski, Jack",669261,2023,24,447,534,100,51,21,2,26,172,75,32.2,14,".224",".454",".339","0.793",".341",".346","73.7","90.5",34.2,15.7,43.4,"102.173377122","95.316292734",30.1,39
"Semien, Marcus",543760,2023,32,670,753,185,112,40,4,29,110,72,14.6,9.6,".276",".478",".348","0.826",".354",".333","68.7","88.4",37.5,6.5,37,"98.08417844","93.189258191",18,47.1
"Adames, Willy",642715,2023,27,553,638,120,65,29,2,24,165,71,25.9,11.1,".217",".407",".310","0.717",".311",".335","72.5","87.4",35,12.4,36.5,"99.086365635","93.664258959",31,50
"Goldschmidt, Paul",502671,2023,35,593,687,159,103,31,0,25,161,87,23.4,12.7,".268",".447",".363","0.810",".350",".367","72.1","91.3",35.6,12,50.8,"102.40959555","95.767792759",27.5,44
"Harris II, Michael",671739,2023,22,505,539,148,94,33,3,18,101,25,18.7,4.6,".293",".477",".331","0.808",".345",".357","73.6","90.9",34.6,10,48.5,"103.586789505","96.131496609",24.4,52.9
"McMahon, Ryan",641857,2023,28,555,627,133,76,31,3,23,198,68,31.6,10.8,".240",".431",".322","0.753",".325",".335","72.2","90.8",39.4,11.4,44.2,"102.017798324","95.343043101",32.3,47.4
"Díaz, Yandy",650490,2023,31,525,600,173,116,35,0,22,94,65,15.7,10.8,".330",".522",".410","0.932",".402",".383","73.8","93.4",30.5,9.5,54,"104.285177685","97.074568747",18.4,42.6
"India, Jonathan",663697,2023,26,454,529,111,71,23,0,17,109,52,20.6,9.8,".244",".407",".338","0.745",".327",".339","71.3","89.5",37.2,7.7,38.6,"99.676934286","94.0396352",22,38.6
"Springer III, George",543807,2023,33,613,683,158,111,25,1,21,125,60,18.3,8.8,".258",".405",".327","0.732",".320",".332","72.7","88.3",32.2,7.7,39.9,"100.34851102","94.297792755",22.3,49.3
"Smith, Dominic",642086,2023,28,527,586,134,100,21,1,12,91,47,15.5,8,".254",".366",".326","0.692",".306",".320","68.6","86.3",37,6.6,30.8,"97.225088721","92.631850959",19.9,49
"Hernández, Enrique",571771,2023,31,465,508,110,76,23,0,11,97,34,19.1,6.7,".237",".357",".289","0.646",".282",".272","72.3","87.8",31,4.5,33.7,"97.831208503","92.980265241",23.6,46.7
"Harper, Bryce",547180,2023,30,457,546,134,83,29,1,21,119,80,21.8,14.7,".293",".499",".401","0.900",".384",".399","75.5","91.8",36.8,15.2,46.8,"103.839812899","96.235486154",33.5,51.4
"Rutschman, Adley",668939,2023,25,588,687,163,111,31,1,20,101,92,14.7,13.4,".277",".435",".374","0.809",".352",".373","70.3","88.4",37,7.5,38.6,"99.614450772","93.937278476",15.6,41
"Meneses, Joey",608841,2023,31,611,657,168,118,36,1,13,130,38,19.8,5.8,".275",".401",".321","0.722",".314",".288","69.7","89.4",32.9,5.4,41.7,"99.929364091","94.237468244",23.6,47.6
"Rosario, Amed",642708,2023,27,510,545,134,95,25,8,6,99,29,18.2,5.3,".263",".378",".305","0.683",".297",".305","71.2","88.3",33.8,3.4,39.4,"99.501582705","93.941784576",23.1,53.4
"Betts, Mookie",605141,2023,30,584,693,179,99,40,1,39,107,96,15.4,13.9,".307",".579",".408","0.987",".416",".407","71.3","92.4",42.5,12.4,48.5,"100.865674689","95.28290971",16.7,38.1
"Acuña Jr., Ronald",660670,2023,25,643,735,217,137,35,4,41,84,80,11.4,10.9,".337",".596",".416","1.012",".428",".460","77.3","94.7",33.6,15.3,55.2,"106.368689571","98.157029125",18.7,46.2
"Nootbaar, Lars",663457,2023,25,426,503,111,73,23,1,14,99,72,19.7,14.3,".261",".418",".367","0.785",".344",".356","72.2","89.1",30.8,8.8,37.8,"100.334219085","94.369985457",18.5,35.5
"Schwarber, Kyle",656941,2023,30,585,720,115,48,19,1,47,215,126,29.9,17.5,".197",".474",".343","0.817",".350",".364","77.1","92.4",34.3,16.4,48.8,"103.398490108","96.18179379",31.5,37.7
"Turner, Trea",607208,2023,30,639,691,170,104,35,5,26,150,45,21.7,6.5,".266",".459",".320","0.779",".333",".330","72.4","89.9",36.1,8.4,42.2,"100.292342286","94.550003245",29.6,53.1
"Lindor, Francisco",596019,2023,29,602,687,153,87,33,2,31,137,66,19.9,9.6,".254",".470",".336","0.806",".346",".346","71","91.2",35.8,10.4,43.9,"100.821281314","94.916417775",22.8,48
"Báez, Javier",595879,2023,30,510,547,113,82,18,4,9,125,24,22.9,4.4,".222",".325",".267","0.592",".261",".279","74.1","88",28.9,5.2,39.7,"100.19637776","94.157773958",32.7,54.8
"Giménez, Andrés",665926,2023,24,557,616,140,93,27,5,15,112,32,18.2,5.2,".251",".399",".314","0.713",".309",".297","68.8","84.8",29.9,5.5,27,"96.663934128","92.344201908",25.4,54.6
"Riley, Austin",663586,2023,26,636,715,179,107,32,3,37,172,59,24.1,8.3,".281",".516",".345","0.861",".363",".365","76.2","92.3",35.2,13.9,49.2,"103.384251814","96.274145591",27.8,48.2
"Machado, Manny",592518,2023,30,543,601,140,89,21,0,30,109,50,18.1,8.3,".258",".462",".319","0.781",".334",".332","76.7","91",30.2,10.5,45.9,"102.375377","95.525381708",23.9,49.3
"Burger, Jake",669394,2023,27,492,540,123,60,28,1,34,149,32,27.6,5.9,".250",".518",".309","0.827",".349",".359","76","91.9",33.4,16.7,49.6,"105.009725862","96.989580029",34.1,54
"Díaz, Elias",553869,2023,32,486,526,130,90,25,1,14,118,34,22.4,6.5,".267",".409",".316","0.725",".314",".296","73.6","88.1",31.2,6.2,38.4,"100.035107459","94.071648482",28.4,54.8
"Hayes, Ke'Bryan",663647,2023,26,494,525,134,81,31,7,15,104,28,19.8,5.3,".271",".453",".309","0.762",".324",".321","72.3","92.2",34.1,7.4,48.3,"101.67326359","95.450846324",21.2,45.6
"Turner, Justin",457759,2023,38,558,626,154,100,31,0,23,110,51,17.6,8.1,".276",".455",".345","0.800",".346",".336","66.4","89.5",36.8,5.7,39,"98.567368238","93.587032225",17.5,45
"Witt Jr., Bobby",677951,2023,23,641,694,177,108,28,11,30,121,40,17.4,5.8,".276",".495",".319","0.814",".343",".369","75.1","90.7",34.4,11.5,45.6,"102.080606768","95.411820457",22.8,50.5
"Marte, Ketel",606466,2023,29,569,650,157,97,26,9,25,109,71,16.8,10.9,".276",".485",".358","0.843",".361",".342","73.2","91.1",30.8,8,42.8,"101.585403319","95.10445528",20.5,45.5
"Melendez Jr., MJ",669004,2023,24,533,602,125,75,29,5,16,170,62,28.2,10.3,".235",".398",".316","0.714",".310",".325","72.1","93.2",34.6,11.4,49.6,"101.434950217","95.609327411",34.4,47.9
"Stott, Bryson",681082,2023,25,585,640,164,115,32,2,15,100,39,15.6,6.1,".280",".419",".329","0.748",".323",".309","67.9","88.1",36.4,4.7,35.2,"97.379136163","92.802445092",15.3,45
"Olson, Matt",621566,2023,29,608,720,172,88,27,3,54,167,104,23.2,14.4,".283",".604",".389","0.993",".413",".392","74.9","93.7",31,16.4,55.5,"104.825276757","97.314084392",28.4,46.8
"McKinstry, Zach",656716,2023,28,464,518,107,73,21,4,9,113,44,21.8,8.5,".231",".351",".302","0.653",".289",".312","67.9","87.2",37.1,7.6,33.5,"97.726678239","92.940971652",20.5,47.3
"Tovar, Ezequiel",678662,2023,21,581,615,147,91,37,4,15,166,25,27,4.1,".253",".408",".287","0.695",".298",".291","71.9","88",36.4,8.1,36.2,"99.019446394","93.628807036",31.3,59.7
"Raleigh, Cal",663728,2023,26,513,569,119,65,23,1,30,158,54,27.8,9.5,".232",".456",".306","0.762",".326",".330","75","89.5",36.5,12.6,41,"101.028271404","94.749354873",29.9,49.7
"Anderson, Tim",641313,2023,30,493,524,121,100,18,2,1,122,26,23.3,5,".245",".296",".286","0.582",".260",".279","68.8","87.8",32.4,2.9,39.4,"99.22965129","93.713640376",25.3,53.5
"Rosario, Eddie",592696,2023,31,478,516,122,74,24,3,21,122,34,23.6,6.6,".255",".450",".305","0.755",".322",".317","70.4","88.6",35.9,9.5,35.4,"98.60055257","93.424315434",29.8,57.4
"Soto, Juan",665742,2023,24,568,708,156,88,32,1,35,129,132,18.2,18.6,".275",".519",".410","0.929",".395",".408","74.6","93.2",28.5,13,55.3,"104.484350409","97.215905977",20.5,35.8
"Renfroe, Hunter",592669,2023,31,498,548,116,65,31,0,20,125,44,22.8,8,".233",".416",".297","0.713",".308",".289","74.6","88.3",29.5,6.1,39.1,"100.508778984","94.37524563",26.4,50.8
"Reynolds, Bryan",668804,2023,28,574,640,151,91,31,5,24,138,53,21.6,8.3,".263",".460",".330","0.790",".338",".360","70.2","90.9",36.9,11.1,47.3,"101.022834344","94.957065034",28.2,47.4
"Freeman, Freddie",518692,2023,33,637,730,211,121,59,2,29,121,72,16.6,9.9,".331",".567",".410","0.977",".411",".408","70.5","90",46.6,11.1,42.2,"100.590638269","94.617661541",20.4,51
"Kim, Ha-Seong",673490,2023,27,538,626,140,100,23,0,17,124,75,19.8,12,".260",".398",".351","0.749",".330",".313","67.6","86.2",36.1,4.2,26.7,"96.561670433","92.283861587",17.8,38.9
"Devers, Rafael",646240,2023,26,580,656,157,90,34,0,33,126,62,19.2,9.5,".271",".500",".351","0.851",".359",".380","73.4","93.1",30,12.7,55.1,"104.483705833","97.182864659",26.1,52.6
"Abrams, CJ",682928,2023,22,563,614,138,86,28,6,18,118,32,19.2,5.2,".245",".412",".300","0.712",".306",".304","71.5","87.4",32.6,6.9,35.9,"98.814933243","93.426357297",22.5,53.5
"Grisham, Trent",663757,2023,26,469,555,93,48,31,1,13,154,75,27.7,13.5,".198",".352",".315","0.667",".299",".322","70.5","90.3",32.8,11.9,40,"100.701927386","94.880503967",28.3,41.6
"Yoshida, Masataka",807799,2023,29,537,580,155,104,33,3,15,81,34,14,5.9,".289",".445",".338","0.783",".339",".325","71.4","89",29.5,6.6,40.6,"100.123813246","94.28056556",18.3,43.3
"De La Cruz, Bryan",650559,2023,26,579,626,149,98,32,0,19,142,40,22.7,6.4,".257",".411",".304","0.715",".309",".331","72.2","89.9",41,8.8,42.5,"100.272527091","94.400399818",28.7,50.1
"Steer, Spencer",668715,2023,25,582,665,158,95,37,3,23,139,68,20.9,10.2,".271",".464",".356","0.820",".355",".333","71.5","88.7",35.3,6.7,37.1,"99.167567432","93.741896795",24.1,43.8
"Alonso, Pete",624413,2023,28,568,658,123,54,21,2,46,151,65,22.9,9.9,".217",".504",".318","0.822",".346",".368","75.7","89.5",32.3,14.7,40.1,"102.342134502","95.253955701",26.2,43.7
"García, Adolis",666969,2023,30,555,632,136,68,29,0,39,175,65,27.7,10.3,".245",".508",".328","0.836",".354",".366","73.7","92.1",36,16.1,49.7,"102.949539534","96.163808523",31.6,48.6
"Soler, Jorge",624585,2023,31,504,580,126,66,24,0,36,141,66,24.3,11.4,".250",".512",".341","0.853",".361",".374","75.8","91.3",36.5,15,48,"103.053956467","95.950783079",27.6,44.1
"Kwan, Steven",680757,2023,25,638,718,171,123,36,7,5,75,70,10.4,9.7,".268",".370",".340","0.710",".313",".317","64.1","86",37.7,1.1,18.8,"94.063409324","91.031738203",11.2,41.2
"Swanson, Dansby",621020,2023,29,565,638,138,88,25,3,22,154,66,24.1,10.3,".244",".416",".328","0.744",".325",".345","71.5","89.3",35.1,10.9,39.7,"99.817409223","94.10753236",28.7,47.3
"Garcia, Maikel",672580,2023,23,464,515,126,98,20,4,4,115,38,22.3,7.4,".272",".358",".323","0.681",".299",".319","69.8","91.8",36.9,3.9,50.6,"101.538604663","95.500565408",19.5,43.1
"Hoerner, Nico",663538,2023,26,619,688,175,135,27,4,9,83,49,12.1,7.1,".283",".383",".346","0.729",".322",".311","68.8","86.6",33.2,1.8,33.4,"97.320472852","92.695131651",12.5,45.6
"Wade Jr., LaMonte",664774,2023,29,429,519,110,77,14,2,17,95,76,18.3,14.6,".256",".417",".373","0.790",".347",".360","72.8","88.4",33.6,9.1,39.8,"99.530093174","93.945744444",20.8,39.5
"Bichette, Bo",666182,2023,25,571,601,175,122,30,3,20,115,27,19.1,4.5,".306",".475",".339","0.814",".349",".363","70.1","90.2",38.3,9.6,44.9,"101.736681894","95.184330552",21.1,56.6
"Rodríguez, Julio",677594,2023,22,654,714,180,109,37,2,32,175,47,24.5,6.6,".275",".485",".333","0.818",".347",".345","77.2","92.7",31.8,11.9,52,"104.082287708","96.812366417",28.3,53.9
"Peña, Jeremy",665161,2023,25,577,634,152,107,32,3,10,129,43,20.3,6.8,".263",".381",".324","0.705",".310",".310","71.6","88",32.4,4,35.8,"99.143524796","93.690137489",28.4,53.2
"Tucker, Kyle",663656,2023,26,574,674,163,92,37,5,29,92,80,13.6,11.9,".284",".517",".369","0.886",".372",".386","71.8","90.2",35.4,10.6,45.9,"100.798373008","94.831132546",18.5,47
"Estrada, Thairo",642731,2023,27,495,530,134,92,26,2,14,120,22,22.6,4.2,".271",".416",".315","0.731",".316",".292","70.3","85.9",34.7,4.8,33.7,"97.898139565","92.983630679",21.5,51.7
"Santander, Anthony",623993,2023,28,591,656,152,82,41,1,28,152,55,23.2,8.4,".257",".472",".325","0.797",".340",".319","72.9","90.6",33,10.2,46,"101.732013378","95.319994041",23.5,49
"Realmuto, J.T.",592663,2023,32,489,540,123,70,28,5,20,138,35,25.6,6.5,".252",".452",".310","0.762",".324",".334","73.5","89.8",36.2,11.2,43.3,"101.30139764","94.961935393",26.2,50.5
"Smith, Will",669257,2023,28,464,554,121,79,21,2,19,89,63,16.1,11.4,".261",".438",".359","0.797",".345",".350","68.6","89.3",37.5,6.7,41.6,"99.645654456","94.001340492",19.5,45.7
"Lowe, Nathaniel",663993,2023,27,623,724,163,105,38,3,17,165,93,22.8,12.8,".262",".414",".360","0.774",".340",".339","74.1","89.8",36.7,6.5,41.6,"101.145951991","94.820277484",20.6,43.8
"Davis, J.D.",605204,2023,30,480,546,119,77,23,1,18,152,52,27.8,9.5,".248",".412",".325","0.737",".321",".323","72.2","91.1",33.5,9.6,45.2,"101.437064311","95.258851108",34,53.1
"Suárez, Eugenio",553993,2023,31,598,694,139,88,29,0,22,214,70,30.8,10.1,".232",".391",".323","0.714",".313",".324","72.3","90.3",37.7,13.2,43,"100.661115455","94.726665316",32.8,44.5
"Vierling, Matt",663837,2023,26,479,530,125,89,21,5,10,112,44,21.1,8.3,".261",".388",".329","0.717",".315",".322","71.3","89.1",32.2,4.6,42.8,"100.577331105","94.490701519",19.4,44.3
"Nimmo, Brandon",607043,2023,30,592,682,162,102,30,6,24,146,74,21.4,10.9,".274",".466",".363","0.829",".359",".352","72.7","91.8",33.5,9.5,47.9,"101.50757","95.462726837",22,42.4
"Arcia, Orlando",606115,2023,28,488,533,129,87,25,0,17,102,39,19.1,7.3,".264",".420",".321","0.741",".321",".307","71.1","88.2",30.6,6.9,41.1,"99.189217927","93.735384508",24.3,46.2
"Canha, Mark",592192,2023,34,435,507,114,77,25,1,11,79,49,15.6,9.7,".262",".400",".355","0.755",".333",".323","67.8","87.9",30.9,4.7,36.7,"98.959607624","93.632062936",18.3,41.6
"Ruiz, Keibert",660688,2023,24,523,562,136,94,24,0,18,58,31,10.3,5.5,".260",".409",".308","0.717",".310",".322","66.4","87.4",39.4,5.8,31.9,"97.263733176","92.681495075",14.3,51.1
"Bohm, Alec",664761,2023,26,558,611,153,102,31,0,20,94,42,15.4,6.9,".274",".437",".327","0.764",".329",".343","72","89.4",35.1,5.7,41.7,"100.435445021","94.400147213",18.1,49.8
"Santana, Carlos",467793,2023,37,550,619,132,75,33,1,23,104,65,16.8,10.5,".240",".429",".318","0.747",".323",".308","71.4","88.8",31.3,6.7,36.4,"99.367236","93.791213073",22.1,45.3
"Tatis Jr., Fernando",665487,2023,24,575,635,148,89,33,1,25,141,53,22.2,8.3,".257",".449",".322","0.771",".332",".364","73","91.9",31.5,11,49.3,"102.94128633","96.024566651",30.5,54.1
"Arraez, Luis",650333,2023,26,574,617,203,160,30,3,10,34,35,5.5,5.7,".354",".469",".393","0.862",".369",".354","63.9","88.3",44.7,3.5,25.7,"95.658900664","92.009454214",7.9,51
"Contreras, William",661388,2023,25,540,611,156,100,38,1,17,126,63,20.6,10.3,".289",".457",".367","0.824",".357",".335","73.8","91.3",27.1,9.4,48.7,"103.241329369","96.097846496",28,43.2
"Suzuki, Seiya",673548,2023,28,515,583,147,90,31,6,20,130,59,22.3,10.1,".285",".485",".357","0.842",".358",".357","72.4","91.4",36.5,10.5,48,"102.157061122","95.610201816",21.3,40.9
"Bogaerts, Xander",593428,2023,30,596,665,170,118,31,2,19,110,56,16.5,8.4,".285",".440",".350","0.790",".343",".318","70.4","87.6",28.3,6.1,34.6,"98.476149796","93.284202061",20.4,42.6
"Volpe, Anthony",683011,2023,22,541,601,113,65,23,4,21,167,52,27.8,8.7,".209",".383",".283","0.666",".290",".308","70.9","88.7",35.5,9,43,"99.54617672","93.954577957",28.2,47.9
"Gurriel Jr., Lourdes",666971,2023,29,551,592,144,83,35,2,24,103,33,17.4,5.6,".261",".463",".309","0.772",".329",".324","69.9","89.7",35.3,8.4,46,"99.859212133","94.368560668",18.7,49.1
"Chapman, Matt",656305,2023,30,509,581,122,64,39,2,17,165,62,28.4,10.7,".240",".424",".330","0.754",".328",".337","75.5","93.4",32.4,17.1,56.4,"103.539639884","96.813201603",31.1,43.3
"Guerrero Jr., Vladimir",665489,2023,24,602,682,159,103,30,0,26,100,67,14.7,9.8,".264",".444",".345","0.789",".340",".378","75.5","92.1",32.4,11.1,49.2,"104.050992964","96.528144743",23,50.6
"Robert Jr., Luis",673357,2023,25,546,595,144,69,36,1,38,172,30,28.9,5,".264",".542",".315","0.857",".358",".350","75.9","89.1",38,15.4,42.3,"101.844478191","95.05043424",33.5,58.3
"Bell, Josh",605137,2023,30,547,617,135,85,28,0,22,134,63,21.7,10.2,".247",".419",".325","0.744",".323",".345","72.3","90.1",31.3,10.1,43,"101.611186796","94.955559951",25.8,47.7
"Rooker Jr., Brent",667670,2023,28,463,526,114,63,20,1,30,172,49,32.7,9.3,".246",".488",".329","0.817",".348",".343","73.6","91.6",37.3,15.6,49.5,"102.653891351","95.962225864",38.2,46.1
"Outman, James",681546,2023,26,483,567,120,78,16,3,23,181,68,31.9,12,".248",".437",".353","0.790",".344",".325","73.4","87.9",38.2,11.1,39.9,"99.962159145","94.027798454",36.6,46
