"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","avg_swing_speed","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Albies, Ozzie",645277,2018,21,639,684,167,98,40,5,24,116,36,17,5.3,".261",".452",".305","0.757",".324",".301",,"86.8",34,4.7,29.4,"96.721019502","92.378085701",22.1,56.8
"Contreras, Willson",575929,2018,26,474,544,118,76,27,5,10,121,53,22.2,9.7,".249",".390",".339","0.729",".321",".303",,"88.2",28.9,7.3,33.3,"99.890442931","93.949346351",28.1,49.7
"Lowrie, Jed",476704,2018,34,596,680,159,98,37,1,23,128,78,18.8,11.5,".267",".448",".353","0.801",".347",".327",,"89.2",38,5.3,37.9,"98.082412906","93.245694957",20.4,45.9
"Smoak, Justin",475253,2018,31,505,594,122,63,34,0,25,156,83,26.3,14,".242",".457",".350","0.807",".349",".337",,"89.5",36.9,10.8,42.5,"100.299994716","94.321346524",25.3,40.3
"Castro, Starlin",516770,2018,28,593,647,165,119,32,2,12,124,48,19.2,7.4,".278",".400",".329","0.729",".315",".311",,"88.5",32,6.9,36.2,"99.029341092","93.607510063",22.8,46
"Benintendi, Andrew",643217,2018,23,579,661,168,105,41,6,16,106,71,16,10.7,".290",".465",".366","0.831",".357",".353",,"88.6",37.3,6.4,33.7,"98.01397825","93.080004927",19.2,46
"Mazara, Nomar",608577,2018,23,489,536,126,80,25,1,20,116,40,21.6,7.5,".258",".436",".317","0.753",".324",".332",,"90.5",28.2,8.5,43.4,"101.765366011","95.130262527",25.4,46.1
"Rosario, Eddie",592696,2018,26,559,592,161,104,31,2,24,104,30,17.6,5.1,".288",".479",".323","0.802",".340",".302",,"87.7",32.5,8.3,34.2,"97.544744865","92.844520405",23.4,58
"Segura, Jean",516416,2018,28,586,632,178,136,29,3,10,69,32,10.9,5.1,".304",".415",".341","0.756",".327",".310",,"87.7",30,3.6,32.3,"97.786619923","92.937096615",12.6,49
"Dickerson, Corey",572816,2018,29,504,533,151,96,35,7,13,80,21,15,3.9,".300",".474",".330","0.804",".341",".330",,"87.9",37.6,6.1,32.4,"97.786101745","92.916270165",22.1,59.4
"Dozier, Brian",572821,2018,31,553,632,119,66,30,2,21,129,70,20.4,11.1,".215",".391",".305","0.696",".304",".288",,"86.8",30.5,6.3,29.4,"96.03410601","92.028184038",22.6,39.8
"Zobrist, Ben",450314,2018,37,455,520,139,99,28,3,9,60,55,11.5,10.6,".305",".440",".378","0.818",".355",".333",,"89.9",35,3,38.7,"98.1077867","93.360354185",14.2,41.1
"Bogaerts, Xander",593428,2018,25,513,580,148,77,45,3,23,102,55,17.6,9.5,".288",".522",".360","0.882",".373",".363",,"90.6",32.9,9.8,41.8,"101.100815529","94.926741831",21.1,43.2
"Bell, Josh",605137,2018,25,501,583,131,84,31,4,12,104,77,17.8,13.2,".261",".411",".357","0.768",".336",".340",,"90.2",29.6,7,39.3,"100.957818392","94.683419372",24.4,43
"Ahmed, Nick",605113,2018,28,516,564,121,67,33,5,16,109,40,19.3,7.1,".234",".411",".290","0.701",".300",".292",,"86.9",36.3,5.1,30,"96.624658634","92.358719756",25.3,50.4
"Encarnación, Edwin",429665,2018,35,500,578,123,74,16,1,32,132,63,22.8,10.9,".246",".474",".336","0.810",".346",".356",,"89.9",34.1,11.2,41.4,"100.766551311","94.616548279",26.3,44.6
"Choo, Shin-Soo",425783,2018,35,560,665,148,96,30,1,21,156,92,23.5,13.8,".264",".434",".377","0.811",".355",".362",,"89.3",35.9,11.1,40.5,"99.924696535","94.11825245",27,40.9
"Cron, C.J.",543068,2018,28,501,560,127,68,28,1,30,145,37,25.9,6.6,".253",".493",".323","0.816",".347",".345",,"88",34.3,12.2,36.6,"100.817058453","94.484469806",29.1,50.8
"Báez, Javier",595879,2018,25,606,645,176,93,40,9,34,167,29,25.9,4.5,".290",".554",".326","0.880",".366",".340",,"90.6",33.1,12.6,43.3,"101.960975256","95.233508395",33.9,57.9
