"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","avg_swing_speed","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Albies, Ozzie",645277,2019,22,640,702,189,114,43,8,24,112,54,16,7.7,".295",".500",".352","0.852",".354",".346",,"88.9",36.8,6.6,34,"98.232348151","93.247307887",22.9,55.6
"Pham, Tommy",502054,2019,31,567,654,155,99,33,2,21,123,81,18.8,12.4,".273",".450",".369","0.819",".349",".354",,"90.9",29.7,7.9,45,"101.772675315","95.171833612",20.2,38.4
"Gordon, Alex",460086,2019,35,556,633,148,103,31,1,13,100,51,15.8,8.1,".266",".396",".345","0.741",".319",".330",,"88.7",33.7,5.4,38.4,"98.714198996","93.515087773",21.8,48.1
"Blackmon, Charlie",453568,2019,32,580,634,182,101,42,7,32,104,40,16.4,6.3,".314",".576",".364","0.940",".387",".367",,"88.7",36.8,8.3,40.3,"99.698822","94.031157328",19.7,49.9
"Reyes, Franmil",614177,2019,23,494,548,123,67,19,0,37,156,47,28.5,8.6,".249",".512",".310","0.822",".338",".359",,"93.3",33.3,14.8,51,"103.847694162","96.604159768",36.5,51.5
"Villar, Jonathan",542340,2019,28,642,714,176,114,33,5,24,176,61,24.6,8.5,".274",".453",".339","0.792",".335",".315",,"88.9",30.3,6.8,37.1,"100.064624522","94.076027283",27.5,49.8
"Profar, Jurickson",595777,2019,26,459,518,100,54,24,2,20,75,48,14.5,9.3,".218",".410",".301","0.711",".301",".328",,"86.7",29.7,6.5,31.3,"97.141906243","92.584582042",20.2,45.2
"Marte, Ketel",606466,2019,25,569,628,187,110,36,9,32,86,53,13.7,8.4,".329",".592",".389","0.981",".405",".375",,"90",34.6,9.3,40,"101.092484421","94.7158706",17.6,47.8
"Cabrera, Miguel",408234,2019,36,493,549,139,106,21,0,12,108,48,19.7,8.7,".282",".398",".346","0.744",".318",".331",,"90.3",38.5,6.4,44.4,"100.398112564","94.438305641",24.4,49.6
"Bregman, Alex",608324,2019,25,554,690,164,84,37,2,41,83,119,12,17.2,".296",".592",".423","1.015",".418",".373",,"89.3",35.5,4.8,38,"98.440477393","93.337376731",14.3,35.1
"Calhoun, Kole",594777,2019,31,552,632,128,65,29,1,33,162,70,25.6,11.1,".232",".467",".325","0.792",".330",".339",,"89.5",35.2,11.2,42.6,"99.943105052","94.209946136",32.1,48.2
"Ahmed, Nick",605113,2019,29,556,625,141,83,33,6,19,113,52,18.1,8.3,".254",".437",".316","0.753",".315",".321",,"87.8",35.7,6.6,34,"97.728699383","92.939083223",21.3,49.5
"Guerrero Jr., Vladimir",665489,2019,20,464,514,126,83,26,2,15,91,46,17.7,8.9,".272",".433",".339","0.772",".329",".333",,"89.4",30.9,7.7,38.7,"101.626864628","94.89985352",24.5,46.8
"Castro, Starlin",516770,2019,29,636,676,172,115,31,4,22,111,28,16.4,4.1,".270",".436",".300","0.736",".307",".314",,"88.5",29.6,6.2,37.7,"99.25870618","93.71512167",19.1,49.2
