"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","avg_swing_speed","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Rosario, Eddie",592696,2020,28,210,231,54,34,7,0,13,34,19,14.7,8.2,".257",".476",".316","0.792",".333",".318",,"87.5",30.3,6.2,35.4,"97.149699091","92.643316171",22.6,51.9
"Ramírez, José",608070,2020,27,219,254,64,30,16,1,17,43,31,16.9,12.2,".292",".607",".386","0.993",".415",".373",,"88.7",36.7,10.2,35.6,"99.264116591","93.668352686",16.6,41.4
"Calhoun, Kole",594777,2020,32,190,228,43,18,9,0,16,50,28,21.9,12.3,".226",".526",".338","0.864",".362",".379",,"89.4",36.1,11.8,38.2,"99.503862113","93.982617872",32.7,46.8
"LeMahieu, DJ",518934,2020,31,195,216,71,49,10,2,10,21,18,9.7,8.3,".364",".590",".421","1.011",".429",".366",,"91.3",29.7,2.9,45.7,"100.540551744","94.953852733",11.2,44.1
"Myers, Wil",571976,2020,29,198,218,57,26,14,2,15,56,18,25.7,8.3,".288",".606",".353","0.959",".400",".396",,"91",40.8,14.8,45.8,"101.631815571","95.352673957",25.9,42.6
"Báez, Javier",595879,2020,27,222,235,45,27,9,1,8,75,7,31.9,3,".203",".360",".238","0.598",".256",".275",,"89.4",24.8,8.1,40.3,"101.31207375","94.809897708",38.2,53.2
"McCutchen, Andrew",457705,2020,33,217,241,55,36,9,0,10,48,22,19.9,9.1,".253",".433",".324","0.757",".327",".358",,"89.7",36.5,8.2,41.2,"99.22758119","93.968213095",22,40.6
"Gurriel Jr., Yuli",493329,2020,36,211,230,49,30,12,1,6,27,12,11.7,5.2,".232",".384",".274","0.658",".281",".318",,"89.3",34.4,3.7,36.5,"98.527696064","93.454652781",15.6,48.8
"Altuve, Jose",514888,2020,30,192,210,42,28,9,0,5,39,17,18.6,8.1,".219",".344",".286","0.630",".278",".288",,"86.7",24.8,4.6,33.3,"97.480630811","92.777053741",20.2,50
"Olson, Matt",621566,2020,26,210,245,41,22,4,1,14,77,34,31.4,13.9,".195",".424",".310","0.734",".316",".340",,"92.3",30.1,12.8,45.9,"102.764032969","95.948013281",34.8,42.7
"Canha, Mark",592192,2020,31,191,243,47,28,12,2,5,54,37,22.2,15.2,".246",".408",".387","0.795",".351",".359",,"89.7",37.3,7.7,39.4,"98.907806143","93.708491143",24,38
"Goldschmidt, Paul",502671,2020,32,191,231,58,39,13,0,6,43,37,18.6,16,".304",".466",".417","0.883",".387",".396",,"89.2",42.3,10.7,40.9,"99.2678272","93.874685503",23.7,40.6
"Reddick, Josh",502210,2020,33,188,210,46,30,11,1,4,42,20,20,9.5,".245",".378",".316","0.694",".304",".303",,"85.9",34.7,4.8,29.3,"96.145119315","92.092886986",22.6,46.5
"Lopez, Nicky",670032,2020,25,169,192,34,25,8,0,1,41,18,21.4,9.4,".201",".266",".286","0.552",".254",".287",,"84.9",30.5,1.5,26.7,"95.483714921","91.77179232",21,44.6
"Hernández, Teoscar",606192,2020,27,190,207,55,32,7,0,16,63,14,30.4,6.8,".289",".579",".340","0.919",".384",".401",,"93.3",40.6,18,53.1,"104.846097031","97.246447559",34.9,46.4
"Dozier, Hunter",641531,2020,28,158,186,36,24,4,2,6,48,27,25.8,14.5,".228",".392",".344","0.736",".326",".331",,"86.4",26.4,8.2,30.9,"98.298979455","93.253164404",30.9,41.9
"Devers, Rafael",646240,2020,23,232,248,61,33,16,1,11,67,13,27,5.2,".263",".483",".310","0.793",".337",".328",,"93",33.3,12.1,43.6,"102.902087073","95.998599329",31.7,55
"Wong, Kolten",543939,2020,29,181,208,48,41,4,2,1,30,20,14.4,9.6,".265",".326",".350","0.676",".305",".286",,"86.5",31.2,0.6,26.6,"95.584306892","91.793051554",15.8,43.9
